cer_delta_vs_A0,cer_delta_vs_A2,cer_delta_vs_A3,cer_delta_vs_A4,checkpoint,dataset,deletions,insertions,model,normalized_cer,normalized_wer,prediction_sha256,raw_cer,raw_wer,samples,substitutions,wer_delta_vs_A0,wer_delta_vs_A2,wer_delta_vs_A3,wer_delta_vs_A4
0.0,0.019122320189768602,0.01216264601888735,0.01155842993331245,base,mediaspeech_clean,,,A0,0.09591370899163049,0.1625547293071096,,,,493,,0.0,0.024324136493154486,0.020015289457224278,0.01890332893182292
0.0,0.006042160855749004,0.01670545584746902,0.015317996688000726,base,mediaspeech_phone,,,A0,0.11134359754733027,0.17568976301341302,,,,493,,0.0,0.004864827298630886,0.018347348669122243,0.017304885676558468
0.0,0.006489728326545222,-0.003703620820838749,-0.001074161929910944,base,mediaspeech_g711,,,A0,0.08361679273150427,0.1457363263604142,,,,493,,0.0,0.006810758218083246,-0.0013899506567516817,0.0018764333866147787
0.0,-0.003674715053875059,-0.04822210820093188,-0.04345891822795096,base,cv_scripted,,,A0,0.055891852453813964,0.15560526080343562,,,,9650,,0.0,0.001914646148340332,-0.07971727655005817,-0.06928513912498882
0.0,-0.023769808173477895,0.0014297628976528073,0.0013225306803288442,base,fleurs,,,A0,0.022518765638031693,0.10287431609771133,,,,743,,0.0,-0.0740540957077907,0.03282730985589889,0.03251907220466979
0.0,0.00424628450106157,0.040339702760084944,0.04140127388535034,base,cv_spontaneous,,,A0,0.20063694267515925,0.2608695652173913,,,,11,,0.0,0.0248447204968944,0.0248447204968944,0.031055900621118016
0.0,-0.0039755694842981,-0.006599231603639996,-0.00931907685566652,base,tsc_exploratory,,,A0,0.06290911228312039,0.1629611531883704,,,,3484,,0.0,-0.011116540434888827,0.00018323967749817038,-0.0029318348399706706
-0.019122320189768602,0.0,-0.006959674170881253,-0.007563890256456152,base,mediaspeech_clean,,,A2,0.07679138880186188,0.1382305928139551,,,,493,,-0.024324136493154486,0.0,-0.004308847035930208,-0.005420807561331564
-0.006042160855749004,0.0,0.010663294991720015,0.009275835832251722,base,mediaspeech_phone,,,A2,0.10530143669158126,0.17082493571478213,,,,493,,-0.004864827298630886,0.0,0.013482521370491357,0.012440058377927582
-0.006489728326545222,0.0,-0.01019334914738397,-0.0075638902564561655,base,mediaspeech_g711,,,A2,0.07712706440495905,0.13892556814233095,,,,493,,-0.006810758218083246,0.0,-0.008200708874834928,-0.004934324831468467
