model,checkpoint,dataset,samples,normalized_wer,normalized_cer,prediction_sha256
A5,step-150,tsc_exploratory,3484,0.16430491082335696,0.07095643438440123,5f20d6ece501331f242c7fc5807ed62fd89018b843e12cd5ae54567b6b9bd427
A6,step-150,tsc_exploratory,3484,0.16094551673589055,0.06758468123306777,e2d8b78c7cfc451eadc8ec4a9573b3d21392e973434c0719124c7f07568a257c
A5,step-200,mediaspeech_clean,493,0.14955869066648134,0.09119187217473033,d9275f2b0f6cc39eba373e77edfd2e1f5b24885cfe4cc690961df6016878a796
A6,step-200,mediaspeech_clean,493,0.13809159774827995,0.07795506422593206,380306909114587fcebb20f94b209c56595e2d1402dee7ee3d0d0aad45bcb9c3
A5,step-200,mediaspeech_phone,493,0.16151226631454582,0.10005370809649555,2bf3937caabb6bf2c7c53313c28f4656aba7b8d56d9380b63efaee66d17109a4
A6,step-200,mediaspeech_phone,493,0.1572034192786156,0.09541019558698474,446c1ab185690f90f47cad9243d6db74ab750ccf12eeb7bf39b0e8db78472a02
A5,step-200,mediaspeech_g711,493,0.14990617833066927,0.09082262901132346,f2de864023226db6e9fe88591f0b0414f048293fd13814866bdca40b708f2d25
A6,step-200,mediaspeech_g711,493,0.14566682882757662,0.08706306225663518,5b7171dce8b2f724f54196797f382b1e95ec195e109791f0bf4a8d8add50225c
A5,step-200,cv_scripted,9650,0.22252840654916345,0.10437199149387992,7205611b565f31c3f63f992582226b7a0769538515a8569606bb93d049d2746c
A6,step-200,cv_scripted,9650,0.22045271539769168,0.10028205440001899,8107c21fd020f4ab9d42f013b197660a4f833a967ca0b5d3e501890bbf050555
A5,step-200,fleurs,743,0.07520998689989983,0.02549743834147504,c33074f337ee837e21bc0209c291ba85e77c8a346991245b84c8f230c0df9a18
A6,step-200,fleurs,743,0.06881405563689605,0.020719647325151913,c9c9293447d5639ce195cb1af581a30d3b956c51cc5878b84a4b8803b74d1a5e
A5,step-200,cv_spontaneous,11,0.19254658385093168,0.15605095541401273,72294f6dd0f477154cc30953b257d09ebad0c489c54f8a4d3b62d4296ebbbf4f
A6,step-200,cv_spontaneous,11,0.19254658385093168,0.15074309978768577,c47d3883c34efb42adb58be7e7bfe4ea3a9dc98d328566e0df31005e447b7079
A5,step-200,tsc_exploratory,3484,0.16201441485462986,0.06788926115323576,cf342ee87620c16dc608b532200a66671c5fd6ebde29f33d2e152611e29ef751
A6,step-200,tsc_exploratory,3484,0.158899340337161,0.06471521777464292,c952a1abce5542b55d3b57cf8e172ff0bfc2a284a90766dc2a8d77ba8702067e
