checkpoint,dataset,samples,normalized_wer,normalized_cer,raw_wer,raw_cer,prediction_sha256
step-050,mediaspeech_clean,493,0.14365140037528668,0.08435527905831804,0.4263673639585795,0.14070004568906916,b89e3f48bfe6a309d11b573186e78e69bedeb319158cd1a3b0a987f34e78d57f
step-050,mediaspeech_phone,493,0.15838487733685455,0.09602560085932954,0.44061435819028427,0.1520331635780113,8df492be5f448ed018c8fc099f874cd7aec46e91efa5f04c830a93aa72423fab
step-050,mediaspeech_g711,493,0.14385989297379942,0.08469095466141521,0.4254638960316909,0.1414466719413397,e98ae3d16d96d1ad6af61ff5b0e1ac54012a82ff37f08e70d0f77e076783052b
step-050,cv_scripted,9650,0.22489039992842444,0.09935077068176493,0.252738794214521,0.12253814325243509,50623c97d66ddc8342f359688e0dd6f6289849d78863c345fe347bb9424a2893
step-050,fleurs,743,0.07035524389304154,0.02119623495770285,0.2771468574984443,0.06106155905381235,bf508217f0a3fb054eca94cf7294f6dee4131e4c2aff73f109d030a3d03e4d19
step-050,cv_spontaneous,11,0.22981366459627328,0.1592356687898089,0.38509316770186336,0.18388429752066116,466592b60c76b915c559603eb98f4582e6b3eff42adb85097d06a217c2a03070
step-050,tsc_exploratory,3484,0.16589298802834107,0.07222818913878691,0.3903921329098461,0.12604799538320963,c0dc32c188c37baa499e75c9d5a84b125853167478dd92ae9a34bf315734994d
step-100,mediaspeech_clean,493,0.1386475780109806,0.07959987468110817,0.4224060045868372,0.1364988800606216,29e028d81e9712777d79222631ecccf2c35984ed020b0833cac184fbd4f36825
step-100,mediaspeech_phone,493,0.15852387240252971,0.09546614152083427,0.44075335325595943,0.15182143374527787,0b800425a5aa138c92cc9ced36e882d831911effda095969133c0bb84e0bb9ba
step-100,mediaspeech_g711,493,0.1427479324483981,0.08343776574318579,0.4236569601779137,0.1399868504630197,60bb151a8d813e18f2154789eb0c9b5d0e493a0706d9d2eecb5f653a14052dac
step-100,cv_scripted,9650,0.22338731323253108,0.09900969543463367,0.25424244594014034,0.12111321471302967,93078782e6573302cf561057a605a1db9b6628fc36a328e07c27fdc02a75db12
step-100,fleurs,743,0.06981582800339062,0.021053258667937568,0.27652457996266333,0.06087203724103621,3624c3a1a437317491a8b4e30521088fecd18943be73b9ddc3485e1d8090249d
step-100,cv_spontaneous,11,0.22981366459627328,0.1592356687898089,0.38509316770186336,0.18388429752066116,a0e1553a622ad0bb3b68b6fac41a8e0bcf2642bd1cebe498e4674c6c089b04a5
step-100,tsc_exploratory,3484,0.16076227705839238,0.06685262072319029,0.3829709259711703,0.1198281528029368,cbce8456faa5f9bd1fbde383a51d8f9d9772f70a7b51efd7f19564ebed00fa43
step-150,mediaspeech_clean,493,0.13857808047814302,0.07927538826478092,0.4205295712002224,0.1358191158607932,32d7b0682b1c291596cec89e24f376a0e9d8d22d798f8126da3312dbf996c19a
step-150,mediaspeech_phone,493,0.15873236500104246,0.09543257396052456,0.44068385572312185,0.1516431349387655,867e939e39151ff6c952e69e2496622b5c56d7483ea3f16d758e715c80036e3d
step-150,mediaspeech_g711,493,0.1412884842588088,0.08201673902340778,0.4221280144554868,0.13842673590603652,3c9bb751d4f6f81342fdb0b1844a1d6aa1630f1212274fb238f338328fe01bce
step-150,cv_scripted,9650,0.2415675046971459,0.10748912266548823,0.2766719175139625,0.135293966469918,b90b586608b99d173d25c85767d65ee2484f59c2df23ea3e173a4abb6b0750ff
step-150,fleurs,743,0.06966170917777606,0.021089002740378886,0.2756689483509645,0.06064698008836455,92f501f2c7ff4a0d1fb86895454ab5bd1871d592bb6ec0566fe9e20b38390ad1
step-150,cv_spontaneous,11,0.2360248447204969,0.1624203821656051,0.391304347826087,0.18698347107438015,d377b1cbf6ce322c9799be5242fcd14bfec376d3164cdb0ab08b627daaeb0929
step-150,tsc_exploratory,3484,0.16271683361837283,0.06933735165087661,0.3833374053261666,0.12232891425273722,8223ab88fdde95edb7d26b2e92d9b339bc6395b05fa259d475abeaf7e68c1ede
step-200,mediaspeech_clean,493,0.1386475780109806,0.07940965850601978,0.41934811314198345,0.1356185297034668,f86f4f8ba7fdbbbad3e2665c753a4762b8446d7d1e98ed7dfc77323f1352d2cd
step-200,mediaspeech_phone,493,0.1590798526652304,0.09588014143132077,0.4403363680589339,0.1519328704993481,ce7c00658494786ca15a6e61a8e7ed7dec4b7ecc4124c80f323cd72d2b20d47d
step-200,mediaspeech_g711,493,0.1400375286677323,0.08087544197287741,0.419765098339009,0.13707835118178677,91b48562d014594ac7231cb1207ed4623d2864fb07710dbd24419937e3c5a57e
step-200,cv_scripted,9650,0.2320658495123915,0.10509269832042685,0.27133753401117,0.13197008506737712,7da9ba967b3a56dbd214e5254f5c66c958ff5ca9f949a46c107d65f203689b06
step-200,fleurs,743,0.06973876859058334,0.02110091743119266,0.2755133789670193,0.06059959963517051,8356a9ed3e87b004dd9365dd8576584230bc506eac891c3bad5359dec5711d47
step-200,cv_spontaneous,11,0.2360248447204969,0.1624203821656051,0.391304347826087,0.18698347107438015,17c265dcc00ae55c19c9e391aa058a0b24f7aa407a168d31dd4fe515ff746d2e
step-200,tsc_exploratory,3484,0.16305277302711949,0.06970605365950103,0.3823295870999267,0.122499906488621,6430bf55cae53c8aefc4bdd3db403774e7544162b6e12f934eac5a234bc48b4e
