model,checkpoint,dataset,samples,normalized_wer,normalized_cer,wer_delta_vs_A0,cer_delta_vs_A0,wer_delta_vs_A2,cer_delta_vs_A2,wer_delta_vs_A3,cer_delta_vs_A3,wer_delta_vs_A4,cer_delta_vs_A4
A0,base,mediaspeech_clean,493,0.1625547293071096,0.09591370899163049,0.0,0.0,0.024324136493154486,0.019122320189768602,0.020015289457224278,0.01216264601888735,0.01890332893182292,0.01155842993331245
A0,base,mediaspeech_phone,493,0.17568976301341302,0.11134359754733027,0.0,0.0,0.004864827298630886,0.006042160855749004,0.018347348669122243,0.01670545584746902,0.017304885676558468,0.015317996688000726
A0,base,mediaspeech_g711,493,0.1457363263604142,0.08361679273150427,0.0,0.0,0.006810758218083246,0.006489728326545222,-0.0013899506567516817,-0.003703620820838749,0.0018764333866147787,-0.001074161929910944
A0,base,cv_scripted,9650,0.15560526080343562,0.055891852453813964,0.0,0.0,0.001914646148340332,-0.003674715053875059,-0.07971727655005817,-0.04822210820093188,-0.06928513912498882,-0.04345891822795096
A0,base,fleurs,743,0.10287431609771133,0.022518765638031693,0.0,0.0,-0.0740540957077907,-0.023769808173477895,0.03282730985589889,0.0014297628976528073,0.03251907220466979,0.0013225306803288442
A0,base,cv_spontaneous,11,0.2608695652173913,0.20063694267515925,0.0,0.0,0.0248447204968944,0.00424628450106157,0.0248447204968944,0.040339702760084944,0.031055900621118016,0.04140127388535034
A0,base,tsc_exploratory,3484,0.1629611531883704,0.06290911228312039,0.0,0.0,-0.011116540434888827,-0.0039755694842981,0.00018323967749817038,-0.006599231603639996,-0.0029318348399706706,-0.00931907685566652
A2,base,mediaspeech_clean,493,0.1382305928139551,0.07679138880186188,-0.024324136493154486,-0.019122320189768602,0.0,0.0,-0.004308847035930208,-0.006959674170881253,-0.005420807561331564,-0.007563890256456152
A2,base,mediaspeech_phone,493,0.17082493571478213,0.10530143669158126,-0.004864827298630886,-0.006042160855749004,0.0,0.0,0.013482521370491357,0.010663294991720015,0.012440058377927582,0.009275835832251722
A2,base,mediaspeech_g711,493,0.13892556814233095,0.07712706440495905,-0.006810758218083246,-0.006489728326545222,0.0,0.0,-0.008200708874834928,-0.01019334914738397,-0.004934324831468467,-0.0075638902564561655
A2,base,cv_scripted,9650,0.1536906146550953,0.059566567507689024,-0.001914646148340332,0.003674715053875059,0.0,0.0,-0.0816319226983985,-0.04454739314705682,-0.07119978527332915,-0.039784203174075904
A2,base,fleurs,743,0.17692841180550203,0.04628857381150959,0.0740540957077907,0.023769808173477895,0.0,0.0,0.1068814055636896,0.025199571071130702,0.10657316791246049,0.02509233885380674
A2,base,cv_spontaneous,11,0.2360248447204969,0.19639065817409768,-0.0248447204968944,-0.00424628450106157,0.0,0.0,0.0,0.036093418259023374,0.006211180124223614,0.03715498938428877
A2,base,tsc_exploratory,3484,0.17407769362325923,0.06688468176741849,0.011116540434888827,0.0039755694842981,0.0,0.0,0.011299780112386998,-0.0026236621193418963,0.008184705594918157,-0.0053435073713684195
A3,step-050,mediaspeech_clean,493,0.14253943984988532,0.08375106297274314,-0.020015289457224278,-0.01216264601888735,0.004308847035930208,0.006959674170881253,0.0,0.0,-0.0011119605254013565,-0.000604216085574899
A3,step-050,mediaspeech_phone,493,0.15734241434429078,0.09463814169986125,-0.018347348669122243,-0.01670545584746902,-0.013482521370491357,-0.010663294991720015,0.0,0.0,-0.0010424629925637752,-0.0013874591594682933
A3,step-050,mediaspeech_g711,493,0.14712627701716588,0.08732041355234302,0.0013899506567516817,0.003703620820838749,0.008200708874834928,0.01019334914738397,0.0,0.0,0.0032663840433664604,0.002629458890927805
A3,step-050,cv_scripted,9650,0.2353225373534938,0.10411396065474585,0.07971727655005817,0.04822210820093188,0.0816319226983985,0.04454739314705682,0.0,0.0,0.010432137425069349,0.004763189972980919
A3,step-050,fleurs,743,0.07004700624181244,0.021089002740378886,-0.03282730985589889,-0.0014297628976528073,-0.1068814055636896,-0.025199571071130702,0.0,0.0,-0.0003082376512291013,-0.00010723221732396315
A3,step-050,cv_spontaneous,11,0.2360248447204969,0.1602972399150743,-0.0248447204968944,-0.040339702760084944,0.0,-0.036093418259023374,0.0,0.0,0.006211180124223614,0.0010615711252653925
A3,step-050,tsc_exploratory,3484,0.16277791351087223,0.06950834388676039,-0.00018323967749817038,0.006599231603639996,-0.011299780112386998,0.0026236621193418963,0.0,0.0,-0.003115074517468841,-0.002719845252026523
A3,step-100,mediaspeech_clean,493,0.14344290777677393,0.08471333303495501,-0.019111821530335665,-0.011200375956675473,0.00521231496281882,0.007921944233093128,0.0009034679268886125,0.0009622700622118757,-0.00020849259851274393,0.0003580539766369767
A3,step-100,mediaspeech_phone,493,0.15977482799360623,0.09731235733786868,-0.015914935019806786,-0.014031240209461587,-0.0110501077211759,-0.007989079353712583,0.002432413649315457,0.0026742156380074322,0.0013899506567516817,0.0012867564785391389
A3,step-100,mediaspeech_g711,493,0.14893321287094308,0.08923376448999687,0.003196886510528879,0.0056169717584926004,0.010007644728612125,0.012106700085037822,0.0018069358537771973,0.0019133509376538516,0.005073319897143658,0.0045428098285816565
A3,step-100,cv_scripted,9650,0.22909546389907848,0.10435419626359481,0.07349020309564286,0.048462343809780845,0.07540484924398319,0.044787628755905785,-0.006227073454415311,0.00024023560884896267,0.004205063970654038,0.005003425581829882
A3,step-100,fleurs,743,0.06989288741619788,0.021112832122006434,-0.03298142868151345,-0.0014059335160252588,-0.10703552438930415,-0.025175741689503154,-0.00015411882561455759,2.3829381627548524e-05,-0.0004623564768436589,-8.340283569641463e-05
A3,step-100,cv_spontaneous,11,0.2360248447204969,0.1602972399150743,-0.0248447204968944,-0.040339702760084944,0.0,-0.036093418259023374,0.0,0.0,0.006211180124223614,0.0010615711252653925
A3,step-100,tsc_exploratory,3484,0.16488516980210116,0.07126101430456923,0.0019240166137307613,0.008351902021448837,-0.009192523821158066,0.004376332537150737,0.0021072562912289317,0.001752670417808841,-0.0010078182262399094,-0.0009671748342176822
A3,step-150,mediaspeech_clean,493,0.14775175481270414,0.0893008996106163,-0.014802974494405458,-0.00661280938101419,0.009521161998749028,0.012509510808754412,0.00521231496281882,0.0055498366378731595,0.004100354437417464,0.0049456205522982605
A3,step-150,mediaspeech_phone,493,0.15914935019806797,0.09676408718614331,-0.016540412815345046,-0.01457951036118696,-0.01167558551671416,-0.008537349505437955,0.0018069358537771973,0.0021259454862820604,0.0007644728612134222,0.000738486326813767
A3,step-150,mediaspeech_g711,493,0.15219959691430954,0.09364230407733966,0.0064632705538953394,0.010025511345835389,0.013274028771978585,0.01651523967238061,0.005073319897143658,0.00632189052499664,0.008339703940510118,0.008951349415924445
A3,step-150,cv_scripted,9650,0.22043482150845486,0.10349112759476702,0.06482956070501925,0.04759927514095305,0.06674420685335958,0.04392456008707799,-0.014887715845038924,-0.0006228330599788306,-0.004455578419969575,0.004140356913002088
A3,step-150,fleurs,743,0.06966170917777606,0.020969855832241154,-0.03321260691993527,-0.0015489098057905396,-0.10726670262772597,-0.025318717979268435,-0.0003852970640363801,-0.00011914690813773221,-0.0006935347152654814,-0.00022637912546169536
