model,checkpoint,dataset,samples,normalized_wer,normalized_cer,wer_delta_vs_A0,cer_delta_vs_A0,wer_delta_vs_A2,cer_delta_vs_A2,wer_delta_vs_A3_step050,cer_delta_vs_A3_step050
A0,base,mediaspeech_clean,493,0.1625547293071096,0.09591370899163049,0.0,0.0,0.024324136493154486,0.019122320189768602,0.020015289457224278,0.01216264601888735
A0,base,mediaspeech_phone,493,0.17568976301341302,0.11134359754733027,0.0,0.0,0.004864827298630886,0.006042160855749004,0.018347348669122243,0.01670545584746902
A0,base,mediaspeech_g711,493,0.1457363263604142,0.08361679273150427,0.0,0.0,0.006810758218083246,0.006489728326545222,-0.0013899506567516817,-0.003703620820838749
A0,base,cv_scripted,9650,0.15560526080343562,0.055891852453813964,0.0,0.0,0.001914646148340332,-0.003674715053875059,-0.07971727655005817,-0.04822210820093188
A0,base,fleurs,743,0.10287431609771133,0.022518765638031693,0.0,0.0,-0.0740540957077907,-0.023769808173477895,0.03282730985589889,0.0014297628976528073
A0,base,cv_spontaneous,11,0.2608695652173913,0.20063694267515925,0.0,0.0,0.0248447204968944,0.00424628450106157,0.0248447204968944,0.040339702760084944
A0,base,tsc_exploratory,3484,0.1629611531883704,0.06290911228312039,0.0,0.0,-0.011116540434888827,-0.0039755694842981,0.00018323967749817038,-0.006599231603639996
A2,base,mediaspeech_clean,493,0.1382305928139551,0.07679138880186188,-0.024324136493154486,-0.019122320189768602,0.0,0.0,-0.004308847035930208,-0.006959674170881253
A2,base,mediaspeech_phone,493,0.17082493571478213,0.10530143669158126,-0.004864827298630886,-0.006042160855749004,0.0,0.0,0.013482521370491357,0.010663294991720015
A2,base,mediaspeech_g711,493,0.13892556814233095,0.07712706440495905,-0.006810758218083246,-0.006489728326545222,0.0,0.0,-0.008200708874834928,-0.01019334914738397
A2,base,cv_scripted,9650,0.1536906146550953,0.059566567507689024,-0.001914646148340332,0.003674715053875059,0.0,0.0,-0.0816319226983985,-0.04454739314705682
A2,base,fleurs,743,0.17692841180550203,0.04628857381150959,0.0740540957077907,0.023769808173477895,0.0,0.0,0.1068814055636896,0.025199571071130702
A2,base,cv_spontaneous,11,0.2360248447204969,0.19639065817409768,-0.0248447204968944,-0.00424628450106157,0.0,0.0,0.0,0.036093418259023374
A2,base,tsc_exploratory,3484,0.17407769362325923,0.06688468176741849,0.011116540434888827,0.0039755694842981,0.0,0.0,0.011299780112386998,-0.0026236621193418963
A3_step050,step-050,mediaspeech_clean,493,0.14253943984988532,0.08375106297274314,-0.020015289457224278,-0.01216264601888735,0.004308847035930208,0.006959674170881253,0.0,0.0
A3_step050,step-050,mediaspeech_phone,493,0.15734241434429078,0.09463814169986125,-0.018347348669122243,-0.01670545584746902,-0.013482521370491357,-0.010663294991720015,0.0,0.0
A3_step050,step-050,mediaspeech_g711,493,0.14712627701716588,0.08732041355234302,0.0013899506567516817,0.003703620820838749,0.008200708874834928,0.01019334914738397,0.0,0.0
A3_step050,step-050,cv_scripted,9650,0.2353225373534938,0.10411396065474585,0.07971727655005817,0.04822210820093188,0.0816319226983985,0.04454739314705682,0.0,0.0
A3_step050,step-050,fleurs,743,0.07004700624181244,0.021089002740378886,-0.03282730985589889,-0.0014297628976528073,-0.1068814055636896,-0.025199571071130702,0.0,0.0
A3_step050,step-050,cv_spontaneous,11,0.2360248447204969,0.1602972399150743,-0.0248447204968944,-0.040339702760084944,0.0,-0.036093418259023374,0.0,0.0
A3_step050,step-050,tsc_exploratory,3484,0.16277791351087223,0.06950834388676039,-0.00018323967749817038,0.006599231603639996,-0.011299780112386998,0.0026236621193418963,0.0,0.0
A4,step-050,mediaspeech_clean,493,0.14365140037528668,0.08435527905831804,-0.01890332893182292,-0.01155842993331245,0.005420807561331564,0.007563890256456152,0.0011119605254013565,0.000604216085574899
